attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch     0 | force_w 0.000 | train loss   0.6929 | valid acc 0.4231 | 0.680s / epoch | 
epoch   100 | force_w 0.000 | train loss   0.6911 | valid acc 0.5192 | 0.067s / epoch | 
epoch   200 | force_w 0.000 | train loss   0.6910 | valid acc 0.3846 | 0.066s / epoch | 
epoch   300 | force_w 0.000 | train loss   0.6909 | valid acc 0.3846 | 0.066s / epoch | 
epoch   400 | force_w 0.000 | train loss   0.6909 | valid acc 0.3462 | 0.067s / epoch | 
epoch   500 | force_w 0.000 | train loss   0.6908 | valid acc 0.3462 | 0.066s / epoch | 
epoch   600 | force_w 0.000 | train loss   0.6907 | valid acc 0.3462 | 0.067s / epoch | 
epoch   700 | force_w 0.000 | train loss   0.6907 | valid acc 0.3462 | 0.066s / epoch | 
epoch   800 | force_w 0.000 | train loss   0.6906 | valid acc 0.3462 | 0.066s / epoch | 
epoch   900 | force_w 0.000 | train loss   0.6906 | valid acc 0.3462 | 0.066s / epoch | 
epoch  1000 | force_w 0.000 | train loss   0.6901 | valid acc 0.3269 | 0.065s / epoch | 
epoch  1100 | force_w 0.000 | train loss   0.6447 | valid acc 0.5962 | 0.066s / epoch | 
epoch  1200 | force_w 0.000 | train loss   0.5767 | valid acc 0.6731 | 0.064s / epoch | 
epoch  1300 | force_w 0.000 | train loss   0.5478 | valid acc 0.6346 | 0.065s / epoch | 
epoch  1400 | force_w 0.000 | train loss   0.5393 | valid acc 0.4423 | 0.066s / epoch | 
epoch  1500 | force_w 0.000 | train loss   0.4826 | valid acc 0.6346 | 0.066s / epoch | 
epoch  1600 | force_w 0.000 | train loss   0.3800 | valid acc 0.7885 | 0.066s / epoch | 
epoch  1700 | force_w 0.000 | train loss   0.3640 | valid acc 0.6923 | 0.065s / epoch | 
epoch  1800 | force_w 0.000 | train loss   0.3763 | valid acc 0.7692 | 0.066s / epoch | 
epoch  1900 | force_w 0.000 | train loss   0.3057 | valid acc 0.7692 | 0.065s / epoch | 
epoch  2000 | force_w 0.000 | train loss   0.2917 | valid acc 0.7692 | 0.067s / epoch | 
epoch  2100 | force_w 0.000 | train loss   0.2874 | valid acc 0.9615 | 0.065s / epoch | 
epoch  2200 | force_w 0.000 | train loss   0.3182 | valid acc 0.6923 | 0.067s / epoch | 
epoch  2300 | force_w 0.000 | train loss   0.2961 | valid acc 0.9615 | 0.066s / epoch | 
epoch  2400 | force_w 0.000 | train loss   0.2863 | valid acc 0.9615 | 0.065s / epoch | 
epoch  2500 | force_w 0.000 | train loss   0.2896 | valid acc 0.6731 | 0.066s / epoch | 
epoch  2600 | force_w 0.000 | train loss   0.2895 | valid acc 0.9615 | 0.065s / epoch | 
epoch  2700 | force_w 0.000 | train loss   0.2699 | valid acc 0.9615 | 0.065s / epoch | 
epoch  2800 | force_w 0.000 | train loss   0.2712 | valid acc 0.8462 | 0.067s / epoch | 
epoch  2900 | force_w 0.000 | train loss   0.2760 | valid acc 0.9615 | 0.067s / epoch | 
epoch  3000 | force_w 0.000 | train loss   0.2620 | valid acc 0.9615 | 0.067s / epoch | 
epoch  3100 | force_w 0.000 | train loss   0.2723 | valid acc 0.8462 | 0.066s / epoch | 
epoch  3200 | force_w 0.000 | train loss   0.2792 | valid acc 0.9615 | 0.064s / epoch | 
epoch  3300 | force_w 0.000 | train loss   0.2434 | valid acc 0.9615 | 0.064s / epoch | 
epoch  3400 | force_w 0.000 | train loss   0.2499 | valid acc 0.8462 | 0.065s / epoch | 
epoch  3500 | force_w 0.000 | train loss   0.2695 | valid acc 0.9615 | 0.065s / epoch | 
epoch  3600 | force_w 0.000 | train loss   0.2428 | valid acc 0.9615 | 0.067s / epoch | 
epoch  3700 | force_w 0.000 | train loss   0.2556 | valid acc 0.8462 | 0.065s / epoch | 
epoch  3800 | force_w 0.000 | train loss   0.2567 | valid acc 0.9615 | 0.064s / epoch | 
epoch  3900 | force_w 0.000 | train loss   0.2487 | valid acc 0.9615 | 0.067s / epoch | 
epoch  4000 | force_w 0.000 | train loss   0.2635 | valid acc 0.8654 | 0.065s / epoch | 
epoch  4100 | force_w 0.000 | train loss   0.2498 | valid acc 0.9615 | 0.066s / epoch | 
epoch  4200 | force_w 0.000 | train loss   0.2414 | valid acc 0.9615 | 0.067s / epoch | 
epoch  4300 | force_w 0.000 | train loss   0.2541 | valid acc 0.8654 | 0.066s / epoch | 
epoch  4400 | force_w 0.000 | train loss   0.2486 | valid acc 0.9615 | 0.066s / epoch | 
epoch  4500 | force_w 0.000 | train loss   0.2374 | valid acc 0.9615 | 0.067s / epoch | 
epoch  4600 | force_w 0.000 | train loss   0.2541 | valid acc 0.8654 | 0.065s / epoch | 
epoch  4700 | force_w 0.000 | train loss   0.2495 | valid acc 0.9615 | 0.066s / epoch | 
epoch  4800 | force_w 0.000 | train loss   0.2375 | valid acc 0.9615 | 0.067s / epoch | 
epoch  4900 | force_w 0.000 | train loss   0.2542 | valid acc 0.8654 | 0.065s / epoch | 
epoch  5000 | force_w 0.000 | train loss   0.2473 | valid acc 0.9615 | 0.066s / epoch | 
epoch  5100 | force_w 0.000 | train loss   0.2344 | valid acc 0.9615 | 0.065s / epoch | 
epoch  5200 | force_w 0.000 | train loss   0.2493 | valid acc 0.8654 | 0.066s / epoch | 
epoch  5300 | force_w 0.000 | train loss   0.2413 | valid acc 0.9615 | 0.067s / epoch | 
epoch  5400 | force_w 0.000 | train loss   0.2315 | valid acc 0.9615 | 0.068s / epoch | 
epoch  5500 | force_w 0.000 | train loss   0.2471 | valid acc 0.8654 | 0.065s / epoch | 
epoch  5600 | force_w 0.000 | train loss   0.2442 | valid acc 0.9615 | 0.065s / epoch | 
epoch  5700 | force_w 0.000 | train loss   0.2364 | valid acc 0.9615 | 0.066s / epoch | 
epoch  5800 | force_w 0.000 | train loss   0.2390 | valid acc 0.8654 | 0.066s / epoch | 
epoch  5900 | force_w 0.000 | train loss   0.2414 | valid acc 0.9615 | 0.066s / epoch | 
epoch  6000 | force_w 0.000 | train loss   0.2288 | valid acc 0.9615 | 0.066s / epoch | 
epoch  6100 | force_w 0.000 | train loss   0.2442 | valid acc 0.8654 | 0.065s / epoch | 
epoch  6200 | force_w 0.000 | train loss   0.2414 | valid acc 0.9615 | 0.065s / epoch | 
epoch  6300 | force_w 0.000 | train loss   0.2332 | valid acc 0.9615 | 0.067s / epoch | 
epoch  6400 | force_w 0.000 | train loss   0.2374 | valid acc 0.8654 | 0.064s / epoch | 
epoch  6500 | force_w 0.000 | train loss   0.2355 | valid acc 0.9615 | 0.067s / epoch | 
epoch  6600 | force_w 0.000 | train loss   0.2287 | valid acc 0.9615 | 0.068s / epoch | 
epoch  6700 | force_w 0.000 | train loss   0.2361 | valid acc 0.8654 | 0.065s / epoch | 
epoch  6800 | force_w 0.000 | train loss   0.2402 | valid acc 0.9615 | 0.067s / epoch | 
epoch  6900 | force_w 0.000 | train loss   0.2264 | valid acc 0.9615 | 0.067s / epoch | 
