attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch     0 | force_w 0.000 | train loss   0.8850 | valid acc 0.4231 | 0.291s / epoch | 
epoch   100 | force_w 0.000 | train loss   0.6766 | valid acc 0.5962 | 0.066s / epoch | 
epoch   200 | force_w 0.000 | train loss   0.6750 | valid acc 0.5962 | 0.066s / epoch | 
epoch   300 | force_w 0.000 | train loss   0.6744 | valid acc 0.5962 | 0.066s / epoch | 
epoch   400 | force_w 0.000 | train loss   0.6740 | valid acc 0.5962 | 0.066s / epoch | 
epoch   500 | force_w 0.000 | train loss   0.6739 | valid acc 0.5962 | 0.066s / epoch | 
epoch   600 | force_w 0.000 | train loss   0.6738 | valid acc 0.5962 | 0.066s / epoch | 
epoch   700 | force_w 0.000 | train loss   0.6723 | valid acc 0.5962 | 0.064s / epoch | 
epoch   800 | force_w 0.000 | train loss   0.6311 | valid acc 0.5385 | 0.064s / epoch | 
epoch   900 | force_w 0.000 | train loss   0.6308 | valid acc 0.5385 | 0.064s / epoch | 
epoch  1000 | force_w 0.000 | train loss   0.6299 | valid acc 0.5385 | 0.066s / epoch | 
epoch  1100 | force_w 0.000 | train loss   0.4949 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1200 | force_w 0.000 | train loss   0.4462 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1300 | force_w 0.000 | train loss   0.4403 | valid acc 0.6923 | 0.065s / epoch | 
epoch  1400 | force_w 0.000 | train loss   0.4407 | valid acc 0.6923 | 0.067s / epoch | 
epoch  1500 | force_w 0.000 | train loss   0.4417 | valid acc 0.6923 | 0.067s / epoch | 
epoch  1600 | force_w 0.000 | train loss   0.4400 | valid acc 0.6923 | 0.065s / epoch | 
epoch  1700 | force_w 0.000 | train loss   0.4386 | valid acc 0.6923 | 0.065s / epoch | 
epoch  1800 | force_w 0.000 | train loss   0.4392 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1900 | force_w 0.000 | train loss   0.4595 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2000 | force_w 0.000 | train loss   0.4377 | valid acc 0.6923 | 0.064s / epoch | 
epoch  2100 | force_w 0.000 | train loss   0.4361 | valid acc 0.6923 | 0.065s / epoch | 
epoch  2200 | force_w 0.000 | train loss   0.4384 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2300 | force_w 0.000 | train loss   0.4523 | valid acc 0.6923 | 0.064s / epoch | 
epoch  2400 | force_w 0.000 | train loss   0.4343 | valid acc 0.6923 | 0.064s / epoch | 
epoch  2500 | force_w 0.000 | train loss   0.4324 | valid acc 0.6923 | 0.065s / epoch | 
epoch  2600 | force_w 0.000 | train loss   0.5328 | valid acc 0.5385 | 0.064s / epoch | 
epoch  2700 | force_w 0.000 | train loss   0.4185 | valid acc 0.6923 | 0.064s / epoch | 
epoch  2800 | force_w 0.000 | train loss   0.4436 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2900 | force_w 0.000 | train loss   0.4468 | valid acc 0.6923 | 0.067s / epoch | 
epoch  3000 | force_w 0.000 | train loss   0.4290 | valid acc 0.6923 | 0.064s / epoch | 
epoch  3100 | force_w 0.000 | train loss   0.5061 | valid acc 0.5385 | 0.064s / epoch | 
epoch  3200 | force_w 0.000 | train loss   0.4261 | valid acc 0.6923 | 0.067s / epoch | 
epoch  3300 | force_w 0.000 | train loss   0.4903 | valid acc 0.6923 | 0.064s / epoch | 
epoch  3400 | force_w 0.000 | train loss   0.4485 | valid acc 0.6923 | 0.066s / epoch | 
epoch  3500 | force_w 0.000 | train loss   0.4589 | valid acc 0.6923 | 0.066s / epoch | 
epoch  3600 | force_w 0.000 | train loss   0.4682 | valid acc 0.6923 | 0.065s / epoch | 
epoch  3700 | force_w 0.000 | train loss   0.4561 | valid acc 0.6923 | 0.065s / epoch | 
epoch  3800 | force_w 0.000 | train loss   0.4676 | valid acc 0.6923 | 0.066s / epoch | 
epoch  3900 | force_w 0.000 | train loss   0.4283 | valid acc 0.6923 | 0.066s / epoch | 
epoch  4000 | force_w 0.000 | train loss   0.4976 | valid acc 0.4423 | 0.067s / epoch | 
epoch  4100 | force_w 0.000 | train loss   0.4299 | valid acc 0.6923 | 0.065s / epoch | 
epoch  4200 | force_w 0.000 | train loss   0.5074 | valid acc 0.4423 | 0.066s / epoch | 
epoch  4300 | force_w 0.000 | train loss   0.3865 | valid acc 0.8654 | 0.064s / epoch | 
epoch  4400 | force_w 0.000 | train loss   0.3926 | valid acc 0.5385 | 0.066s / epoch | 
epoch  4500 | force_w 0.000 | train loss   0.3968 | valid acc 0.4423 | 0.064s / epoch | 
epoch  4600 | force_w 0.000 | train loss   0.4170 | valid acc 0.6154 | 0.066s / epoch | 
epoch  4700 | force_w 0.000 | train loss   0.4136 | valid acc 0.8654 | 0.065s / epoch | 
epoch  4800 | force_w 0.000 | train loss   0.3647 | valid acc 0.7115 | 0.064s / epoch | 
epoch  4900 | force_w 0.000 | train loss   0.3578 | valid acc 0.8654 | 0.065s / epoch | 
epoch  5000 | force_w 0.000 | train loss   0.5244 | valid acc 0.7115 | 0.065s / epoch | 
epoch  5100 | force_w 0.000 | train loss   0.3506 | valid acc 0.7115 | 0.064s / epoch | 
epoch  5200 | force_w 0.000 | train loss   0.3566 | valid acc 0.8654 | 0.066s / epoch | 
epoch  5300 | force_w 0.000 | train loss   0.5097 | valid acc 0.7115 | 0.066s / epoch | 
epoch  5400 | force_w 0.000 | train loss   0.3499 | valid acc 0.7115 | 0.067s / epoch | 
epoch  5500 | force_w 0.000 | train loss   0.3597 | valid acc 0.8654 | 0.066s / epoch | 
epoch  5600 | force_w 0.000 | train loss   0.4959 | valid acc 0.7115 | 0.064s / epoch | 
epoch  5700 | force_w 0.000 | train loss   0.3501 | valid acc 0.7115 | 0.064s / epoch | 
epoch  5800 | force_w 0.000 | train loss   0.3616 | valid acc 0.8654 | 0.066s / epoch | 
epoch  5900 | force_w 0.000 | train loss   0.4837 | valid acc 0.7115 | 0.065s / epoch | 
epoch  6000 | force_w 0.000 | train loss   0.3493 | valid acc 0.7115 | 0.067s / epoch | 
epoch  6100 | force_w 0.000 | train loss   0.3614 | valid acc 0.8654 | 0.066s / epoch | 
epoch  6200 | force_w 0.000 | train loss   0.4735 | valid acc 0.7115 | 0.066s / epoch | 
epoch  6300 | force_w 0.000 | train loss   0.3510 | valid acc 0.7115 | 0.064s / epoch | 
epoch  6400 | force_w 0.000 | train loss   0.3635 | valid acc 0.8654 | 0.064s / epoch | 
epoch  6500 | force_w 0.000 | train loss   0.4641 | valid acc 0.7115 | 0.066s / epoch | 
epoch  6600 | force_w 0.000 | train loss   0.3481 | valid acc 0.7115 | 0.067s / epoch | 
epoch  6700 | force_w 0.000 | train loss   0.3625 | valid acc 0.8654 | 0.065s / epoch | 
epoch  6800 | force_w 0.000 | train loss   0.4580 | valid acc 0.7115 | 0.066s / epoch | 
epoch  6900 | force_w 0.000 | train loss   0.3516 | valid acc 0.7115 | 0.065s / epoch | 
epoch  7000 | force_w 0.000 | train loss   0.3628 | valid acc 0.8654 | 0.066s / epoch | 
epoch  7100 | force_w 0.000 | train loss   0.4470 | valid acc 0.7308 | 0.066s / epoch | 
epoch  7200 | force_w 0.000 | train loss   0.3484 | valid acc 0.7115 | 0.067s / epoch | 
epoch  7300 | force_w 0.000 | train loss   0.3648 | valid acc 0.8654 | 0.066s / epoch | 
epoch  7400 | force_w 0.000 | train loss   0.4444 | valid acc 0.7308 | 0.066s / epoch | 
epoch  7500 | force_w 0.000 | train loss   0.3468 | valid acc 0.7115 | 0.066s / epoch | 
epoch  7600 | force_w 0.000 | train loss   0.3624 | valid acc 0.8654 | 0.066s / epoch | 
epoch  7700 | force_w 0.000 | train loss   0.4391 | valid acc 0.7308 | 0.067s / epoch | 
epoch  7800 | force_w 0.000 | train loss   0.3456 | valid acc 0.7115 | 0.066s / epoch | 
