attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch     0 | force_w 0.000 | train loss   0.8850 | valid acc 0.4231 | 0.314s / epoch | 
epoch   100 | force_w 0.000 | train loss   0.6766 | valid acc 0.5962 | 0.068s / epoch | 
epoch   200 | force_w 0.000 | train loss   0.6750 | valid acc 0.5962 | 0.068s / epoch | 
epoch   300 | force_w 0.000 | train loss   0.6744 | valid acc 0.5962 | 0.066s / epoch | 
epoch   400 | force_w 0.000 | train loss   0.6740 | valid acc 0.5962 | 0.067s / epoch | 
epoch   500 | force_w 0.000 | train loss   0.6739 | valid acc 0.5962 | 0.065s / epoch | 
epoch   600 | force_w 0.000 | train loss   0.6738 | valid acc 0.5962 | 0.065s / epoch | 
epoch   700 | force_w 0.000 | train loss   0.6726 | valid acc 0.5962 | 0.065s / epoch | 
epoch   800 | force_w 0.000 | train loss   0.6311 | valid acc 0.5385 | 0.066s / epoch | 
epoch   900 | force_w 0.000 | train loss   0.6306 | valid acc 0.5385 | 0.066s / epoch | 
epoch  1000 | force_w 0.000 | train loss   0.6001 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1100 | force_w 0.000 | train loss   0.4796 | valid acc 0.6923 | 0.067s / epoch | 
epoch  1200 | force_w 0.000 | train loss   0.4507 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1300 | force_w 0.000 | train loss   0.4416 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1400 | force_w 0.000 | train loss   0.4457 | valid acc 0.6923 | 0.065s / epoch | 
epoch  1500 | force_w 0.000 | train loss   0.4423 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1600 | force_w 0.000 | train loss   0.4419 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1700 | force_w 0.000 | train loss   0.4412 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1800 | force_w 0.000 | train loss   0.4607 | valid acc 0.6923 | 0.066s / epoch | 
epoch  1900 | force_w 0.000 | train loss   0.4386 | valid acc 0.6923 | 0.065s / epoch | 
epoch  2000 | force_w 0.000 | train loss   0.4385 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2100 | force_w 0.000 | train loss   0.4386 | valid acc 0.6923 | 0.067s / epoch | 
epoch  2200 | force_w 0.000 | train loss   0.4448 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2300 | force_w 0.000 | train loss   0.4397 | valid acc 0.6923 | 0.065s / epoch | 
epoch  2400 | force_w 0.000 | train loss   0.4373 | valid acc 0.6923 | 0.067s / epoch | 
epoch  2500 | force_w 0.000 | train loss   0.4396 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2600 | force_w 0.000 | train loss   0.4477 | valid acc 0.6923 | 0.067s / epoch | 
epoch  2700 | force_w 0.000 | train loss   0.4402 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2800 | force_w 0.000 | train loss   0.4384 | valid acc 0.6923 | 0.066s / epoch | 
epoch  2900 | force_w 0.000 | train loss   0.4393 | valid acc 0.6923 | 0.066s / epoch | 
epoch  3000 | force_w 0.000 | train loss   0.4375 | valid acc 0.6923 | 0.065s / epoch | 
epoch  3100 | force_w 0.000 | train loss   0.4370 | valid acc 0.6923 | 0.065s / epoch | 
epoch  3200 | force_w 0.000 | train loss   0.4439 | valid acc 0.6923 | 0.067s / epoch | 
epoch  3300 | force_w 0.000 | train loss   0.4386 | valid acc 0.6923 | 0.066s / epoch | 
epoch  3400 | force_w 0.000 | train loss   0.4423 | valid acc 0.6923 | 0.067s / epoch | 
epoch  3500 | force_w 0.000 | train loss   0.4534 | valid acc 0.6923 | 0.067s / epoch | 
epoch  3600 | force_w 0.000 | train loss   0.4261 | valid acc 0.6923 | 0.066s / epoch | 
epoch  3700 | force_w 0.000 | train loss   0.4282 | valid acc 0.6923 | 0.067s / epoch | 
epoch  3800 | force_w 0.000 | train loss   0.4204 | valid acc 0.4423 | 0.065s / epoch | 
epoch  3900 | force_w 0.000 | train loss   0.4038 | valid acc 0.6923 | 0.067s / epoch | 
epoch  4000 | force_w 0.000 | train loss   0.4040 | valid acc 0.6923 | 0.066s / epoch | 
epoch  4100 | force_w 0.000 | train loss   0.4586 | valid acc 0.6923 | 0.066s / epoch | 
epoch  4200 | force_w 0.000 | train loss   0.4173 | valid acc 0.5385 | 0.065s / epoch | 
epoch  4300 | force_w 0.000 | train loss   0.5056 | valid acc 0.6923 | 0.065s / epoch | 
epoch  4400 | force_w 0.000 | train loss   0.4224 | valid acc 0.6923 | 0.066s / epoch | 
epoch  4500 | force_w 0.000 | train loss   0.4192 | valid acc 0.5385 | 0.067s / epoch | 
epoch  4600 | force_w 0.000 | train loss   0.3950 | valid acc 0.6923 | 0.066s / epoch | 
epoch  4700 | force_w 0.000 | train loss   0.5029 | valid acc 0.5385 | 0.067s / epoch | 
epoch  4800 | force_w 0.000 | train loss   0.3990 | valid acc 0.4423 | 0.065s / epoch | 
epoch  4900 | force_w 0.000 | train loss   0.3799 | valid acc 0.6923 | 0.068s / epoch | 
epoch  5000 | force_w 0.000 | train loss   0.5123 | valid acc 0.5385 | 0.068s / epoch | 
epoch  5100 | force_w 0.000 | train loss   0.4130 | valid acc 0.6923 | 0.068s / epoch | 
epoch  5200 | force_w 0.000 | train loss   0.4474 | valid acc 0.6731 | 0.067s / epoch | 
epoch  5300 | force_w 0.000 | train loss   0.3968 | valid acc 0.6154 | 0.067s / epoch | 
epoch  5400 | force_w 0.000 | train loss   0.3928 | valid acc 0.6731 | 0.068s / epoch | 
epoch  5500 | force_w 0.000 | train loss   0.4399 | valid acc 0.8462 | 0.068s / epoch | 
epoch  5600 | force_w 0.000 | train loss   0.3796 | valid acc 0.7308 | 0.069s / epoch | 
epoch  5700 | force_w 0.000 | train loss   0.3661 | valid acc 0.8654 | 0.066s / epoch | 
epoch  5800 | force_w 0.000 | train loss   0.5286 | valid acc 0.7115 | 0.067s / epoch | 
epoch  5900 | force_w 0.000 | train loss   0.3592 | valid acc 0.7115 | 0.068s / epoch | 
epoch  6000 | force_w 0.000 | train loss   0.3692 | valid acc 0.8654 | 0.066s / epoch | 
epoch  6100 | force_w 0.000 | train loss   0.5114 | valid acc 0.7115 | 0.067s / epoch | 
epoch  6200 | force_w 0.000 | train loss   0.3589 | valid acc 0.7115 | 0.067s / epoch | 
epoch  6300 | force_w 0.000 | train loss   0.3687 | valid acc 0.8654 | 0.068s / epoch | 
epoch  6400 | force_w 0.000 | train loss   0.5018 | valid acc 0.7115 | 0.068s / epoch | 
epoch  6500 | force_w 0.000 | train loss   0.3582 | valid acc 0.7115 | 0.068s / epoch | 
epoch  6600 | force_w 0.000 | train loss   0.3686 | valid acc 0.8654 | 0.067s / epoch | 
epoch  6700 | force_w 0.000 | train loss   0.4930 | valid acc 0.7115 | 0.066s / epoch | 
epoch  6800 | force_w 0.000 | train loss   0.3574 | valid acc 0.7115 | 0.069s / epoch | 
epoch  6900 | force_w 0.000 | train loss   0.3687 | valid acc 0.8654 | 0.067s / epoch | 
epoch  7000 | force_w 0.000 | train loss   0.4809 | valid acc 0.7115 | 0.067s / epoch | 
epoch  7100 | force_w 0.000 | train loss   0.3567 | valid acc 0.7115 | 0.067s / epoch | 
epoch  7200 | force_w 0.000 | train loss   0.3697 | valid acc 0.8654 | 0.066s / epoch | 
