attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch     0 | force_w 0.000 | train loss   0.6929 | valid acc 0.4231 | 0.804s / epoch | 
epoch   100 | force_w 0.000 | train loss   0.6911 | valid acc 0.5192 | 0.155s / epoch | 
epoch   200 | force_w 0.000 | train loss   0.6910 | valid acc 0.3846 | 0.154s / epoch | 
epoch   300 | force_w 0.000 | train loss   0.6909 | valid acc 0.3846 | 0.154s / epoch | 
epoch   400 | force_w 0.000 | train loss   0.6909 | valid acc 0.3462 | 0.155s / epoch | 
epoch   500 | force_w 0.000 | train loss   0.6908 | valid acc 0.3462 | 0.154s / epoch | 
epoch   600 | force_w 0.000 | train loss   0.6907 | valid acc 0.3462 | 0.156s / epoch | 
epoch   700 | force_w 0.000 | train loss   0.6907 | valid acc 0.3462 | 0.158s / epoch | 
epoch   800 | force_w 0.000 | train loss   0.6906 | valid acc 0.3462 | 0.153s / epoch | 
epoch   900 | force_w 0.000 | train loss   0.6906 | valid acc 0.3462 | 0.154s / epoch | 
epoch  1000 | force_w 0.000 | train loss   0.6901 | valid acc 0.3269 | 0.153s / epoch | 
epoch  1100 | force_w 0.000 | train loss   0.6435 | valid acc 0.6154 | 0.155s / epoch | 
epoch  1200 | force_w 0.000 | train loss   0.6603 | valid acc 0.5577 | 0.153s / epoch | 
epoch  1300 | force_w 0.000 | train loss   0.4947 | valid acc 0.6346 | 0.154s / epoch | 
epoch  1400 | force_w 0.000 | train loss   0.4722 | valid acc 0.7500 | 0.154s / epoch | 
epoch  1500 | force_w 0.000 | train loss   0.4195 | valid acc 0.7500 | 0.153s / epoch | 
epoch  1600 | force_w 0.000 | train loss   0.3967 | valid acc 0.6731 | 0.156s / epoch | 
epoch  1700 | force_w 0.000 | train loss   0.3911 | valid acc 0.7885 | 0.154s / epoch | 
epoch  1800 | force_w 0.000 | train loss   0.3802 | valid acc 0.6731 | 0.155s / epoch | 
epoch  1900 | force_w 0.000 | train loss   0.3623 | valid acc 0.7308 | 0.154s / epoch | 
epoch  2000 | force_w 0.000 | train loss   0.3333 | valid acc 0.7885 | 0.154s / epoch | 
epoch  2100 | force_w 0.000 | train loss   0.3144 | valid acc 0.7885 | 0.154s / epoch | 
epoch  2200 | force_w 0.000 | train loss   0.3117 | valid acc 0.7885 | 0.155s / epoch | 
epoch  2300 | force_w 0.000 | train loss   0.2782 | valid acc 0.6731 | 0.154s / epoch | 
epoch  2400 | force_w 0.000 | train loss   0.3159 | valid acc 0.7885 | 0.154s / epoch | 
